"inSALMO cell data file, Clear Creek site Restoration 3C",,,,
From J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
802,0,4.278,0.477,I
803,0.54,4.137,0.999,I
804,0,10.575,0.604,I
805,0.608,14.379,1,I
806,0.412,10.106,0.971,I
807,1,11.775,0.999,I
808,1,1.104,0.1,I
809,0,0.987,0.01,I
810,0,1.703,0,I
811,0,1.313,0,I
812,0.76,0.9,0,I
813,1,1.13,0,I
814,0.415,0.983,0,I
815,0.666,0.937,0,I
816,0.127,1.707,0,I
817,0,0.997,0,I
818,0,0.708,0,I
819,0,0.83,0,I
820,0,0.844,0,I
821,0,0.588,0,I
822,0,0.996,0,I
823,0,0.772,0,I
824,0,0.766,0,I
825,0,0.496,0,I
